date,negative,neutral,positive
2017-02-25,35,10,55
2017-02-26,24,20,56
2017-02-27,16,16,68
2017-02-28,22,22,56
2017-03-01,19,19,62
2017-03-02,17,17,66
2017-03-03,25,19,56
2017-03-04,20,24,56
2017-03-05,17,19,64
2017-03-06,34,12,54
2017-03-07,19,25,56
2017-03-08,25,20,55
2017-03-09,27,27,46
2017-03-10,28,18,54
2017-03-11,28,19,53
2017-03-12,22,28,50
2017-03-13,24,24,52
2017-03-14,16,30,54
2017-03-15,17,16,67
2017-03-16,34,17,49
2017-03-17,20,21,59
2017-03-18,16,27,57
2017-03-19,15,26,59
2017-03-20,23,19,58
2017-03-21,24,26,50
2017-03-22,17,26,57
2017-03-23,16,17,67
2017-03-24,31,21,48
2017-03-25,26,16,58
2017-03-26,23,16,61
2017-03-27,30,11,59
2017-03-28,24,14,62
2017-03-29,21,26,53
2017-03-30,21,22,57
2017-03-31,19,21,60
2017-04-01,15,34,51
2017-04-02,20,19,61
2017-04-03,23,20,57
2017-04-04,18,15,67
2017-04-05,17,28,55
2017-04-06,17,26,57
2017-04-07,24,24,52
2017-04-08,26,19,55
2017-04-09,28,22,50
2017-04-10,23,13,64
2017-04-11,22,23,55
2017-04-12,21,28,51
2017-04-13,21,26,53
2017-04-14,16,18,66
2017-04-15,16,24,60
2017-04-16,18,20,62
2017-04-17,24,24,52
2017-04-18,23,28,49
2017-04-19,24,23,53
2017-04-20,17,31,52
2017-04-21,14,22,64
2017-04-22,32,9,59
2017-04-23,20,17,63
2017-04-24,22,18,60
2017-04-25,25,20,55
2017-04-26,25,24,51
2017-04-27,13,32,55
2017-04-28,21,20,59
2017-04-29,26,24,50
2017-04-30,23,20,57
2017-05-01,16,19,65
2017-05-02,18,21,61
2017-05-03,23,15,62
2017-05-04,23,20,57
2017-05-05,21,17,62
2017-05-06,23,13,64
2017-05-07,21,33,46
2017-05-08,20,23,57
2017-05-09,26,15,59
2017-05-10,16,27,57
2017-05-11,20,17,63
2017-05-12,26,23,51
2017-05-13,27,25,48
2017-05-14,23,20,57
2017-05-15,16,27,57
2017-05-16,17,26,57
2017-05-17,9,49,42
2017-05-18,17,26,57
2017-05-19,16,18,66
2017-05-20,19,18,63
2017-05-21,18,17,65
2017-05-22,21,21,58
